id;weapon;name;price;rating;age;sales;Buff1;Buff2;Buff3;Debuff
riven_1430208;Corinth;Ignitron;180;F;new;Common;% Damage to Corpus;% Heat;;
riven_1423782;Corinth;Lexitio;230;F;> 1 day;Common;Punch Through;% Electricity;;% Weapon Recoil
riven_1431134;Corinth;Acrican;249;A;new;Common;% Critical Damage;% Multishot;;
riven_1426804;Corinth;Toxitin;250;F;> 1 day;Common;Toxin;% Magazine Capacity;;
riven_1428356;Corinth;Critatio;250;C+;> 1 day;Common;% Electricity;% Critical Chance;;
riven_1424914;Corinth;Vexi-insitron;299;F;> 1 day;Common;% Electricity;% Damage to Corpus;% Puncture;% Magazine Capacity
riven_1426503;Corinth;Acritox;300;C;> 1 day;Common;% Critical Damage;Toxin;;% Damage to Infested
riven_1427006;Corinth;Satidex;300;B-;> 1 day;Common;% Status Chance;% Multishot;;
riven_1430197;Corinth;Acrican;349;A;new;Common;% Multishot;% Critical Damage;;
riven_1423638;Corinth;Pura-critatis;350;B-;> 1 day;Common;% Damage to Infested;% Critical Damage;% Critical Chance;
riven_1424225;Corinth;Sati-insiata;350;B;> 1 day;Common;% Puncture;% Damage;% Multishot;
riven_1429211;Corinth;Conci-hexatis;350;D;> 1 day;Common;% Critical Damage;% Projectile Speed;% Status Chance;
riven_1424168;Corinth;Satipha;390;C+;> 1 day;Common;% Heat;% Multishot;;
riven_1424971;Corinth;Sati-fevatis;400;C;> 1 day;Common;% Multishot;% Critical Damage;% Reload Speed;% Projectile Speed
riven_1425935;Corinth;Crita-acrinok;400;C;> 1 day;Common;% Critical Chance;% Critical Damage;Punch Through;% Reload Speed
riven_1426814;Corinth;Vexitis;400;C;> 1 day;Common;% Electricity;% Critical Damage;;
riven_1431422;Corinth;Visi-lexidra;400;D;new;Common;% Fire Rate;% Damage;Punch Through;% Status Chance
riven_1423944;Corinth;Critado;490;C;> 1 day;Common;% Critical Chance;% Cold;;% Puncture
riven_1426668;Corinth;Vexi-saticron;500;B;> 1 day;Common;% Electricity;% Critical Chance;% Multishot;
riven_1428352;Corinth;Acriata;500;A-;> 1 day;Common;% Critical Damage;% Damage;;% Puncture
riven_1431261;Corinth;Sciata;500;C-;new;Common;% Damage;% Slash;;% Damage to Grineer
riven_1431447;Corinth;Critacan;550;A-;new;Common;% Critical Chance;% Multishot;;% Slash
riven_1429499;Corinth;Visitis;580;A-;> 1 day;Common;% Critical Damage;% Damage;;% Damage to Corpus
riven_1423397;Corinth;Visican;600;A+;> 1 day;Common;% Multishot;% Damage;;
riven_1428754;Corinth;Crita-satiada;600;B-;> 1 day;Common;% Damage to Infested;% Critical Chance;% Multishot;% Damage to Corpus
riven_1431479;Corinth;Hexacan;600;B-;new;Common;% Status Chance;% Multishot;;
riven_1424790;Corinth;Crita-acrinok;650;C;> 1 day;Common;Punch Through;% Critical Damage;% Critical Chance;% Magazine Capacity
riven_1424085;Corinth;Saticron;700;S;> 1 day;Common;% Multishot;% Critical Chance;;
riven_1430464;Corinth;Visicron;800;A+;new;Common;% Damage;% Critical Chance;;% Weapon Recoil
riven_1431755;Corinth;Critacan;800;S;new;Common;% Critical Chance;% Multishot;;% Ammo Maximum
riven_1431408;Corinth;Hexa-critacan;850;C+;new;Common;% Multishot;% Status Chance;% Critical Chance;% Damage to Grineer
riven_1426350;Corinth;Visican;900;A-;> 1 day;Common;% Multishot;% Damage;;% Magazine Capacity
riven_1428242;Corinth;Igni-acricron;1200;B-;> 1 day;Common;% Critical Chance;% Critical Damage;% Heat;% Damage to Infested
riven_1429105;Corinth;Toxi-critacan;1200;B+;> 1 day;Common;% Critical Chance;% Multishot;Toxin;
riven_1427528;Corinth;Visican;1300;Buff Popularity;> 1 day;Common;% Damage;% Multishot;;% Weapon Recoil
riven_1424165;Corinth;Visi-satipha;1390;B;> 1 day;Common;% Heat;% Damage;% Multishot;
riven_1423957;Corinth;Crita-fevacan;2000;B;> 1 day;Common;% Reload Speed;% Critical Chance;% Multishot;% Weapon Recoil
riven_1427235;Corinth;Visican;2500;A+;> 1 day;Common;% Multishot;% Damage;;% Ammo Maximum
riven_1428122;Corinth;Critatis;3000;B+;> 1 day;Common;% Critical Damage;% Critical Chance;;% Magazine Capacity
riven_1424842;Corinth;Crita-satitis;3750;B;> 1 day;Common;% Critical Chance;% Multishot;% Critical Damage;% Damage to Grineer

